번호,접수내용
1,삼성스토어 용인구성에서 산 세탁기 설치가 이틀째 지연. 언제 되는지 연락이 없음.
2,비스포크 냉장고 색상을 변경하고 싶은데 매장에서 가능한가요?
3,삼성스토어 신세계 강남 직원이 친절했다는 칭찬. 직원 이름은 모름.
4,모바일 보상판매 견적이 광고와 다르다며 항의.
5,에어컨 구매 문의 — 평수별 추천 모델을 알고 싶음.
6,삼성스토어 현대 판교에서 구매한 건조기 배송이 예정일보다 사흘 늦어지고 있음.
7,삼성스토어 스타필드 고양 냉장고 설치 기사님이 약속 시간보다 두 시간 늦게 도착함.
8,삼성스토어 스타필드 수원 직원이 제품 설명을 너무 빨리 해서 이해하기 어려웠음.
9,비스포크 정수기 필터 교체 주기가 궁금합니다.
10,삼성스토어 신세계 강남에서 산 TV 화면에 세로줄이 생겼는데 A/S 접수 방법을 알려주세요.
11,세탁기 배수 호스에서 물이 새서 바닥이 젖었음. 빠른 점검 요청.
12,모바일 신제품 사전예약 혜택이 매장마다 다른 이유가 궁금함.
13,삼성스토어 용인구성 주차가 너무 복잡해서 방문이 불편했음.
14,에어컨 설치 후 실외기 소음이 심해 잠을 못 잘 정도임.
15,비스포크 냉장고 제빙기에서 얼음이 안 나옵니다.
16,삼성스토어 현대 판교 직원이 보상판매 진행을 매우 꼼꼼하게 도와줘서 만족.
17,건조기 필터 청소 방법을 설명서로는 모르겠어서 문의함.
18,삼성스토어 스타필드 수원 체험존에서 본 청소기 흡입력이 좋아 바로 구매했음.
19,삼성스토어 스타필드 고양 에어컨 설치 일정이 계속 미뤄져 클레임 제기.
20,멤버십 포인트가 결제할 때 적립되지 않았습니다.
21,삼성스토어 신세계 강남에서 구매한 스마트폰 액정 보호필름 부착 서비스가 미흡했음.
22,냉장고 도어 정렬이 맞지 않아 문이 잘 안 닫힘.
23,온라인 가격이 매장 가격보다 싸서 차액 보상이 되는지 문의.
24,삼성스토어 용인구성 직원 응대가 불친절했다는 불만 접수.
25,세탁기 통세척 코스 사용법을 알려주세요.
26,비스포크 인덕션 화구 하나가 작동하지 않습니다.
27,삼성스토어 현대 판교에서 모바일 기기변경 후 데이터 이전이 안 됐다는 항의.
28,에어컨 청소 서비스 비용이 얼마인지 궁금합니다.
29,TV 리모컨이 처음부터 작동하지 않아 교환 요청.
30,삼성스토어 스타필드 수원 매장이 깔끔하게 정리되어 있어 쇼핑이 편했음.
31,건조기에서 타는 냄새가 나서 사용을 중단했습니다.
32,보상판매로 반납한 기기 평가 금액이 너무 낮게 책정됨.
33,삼성스토어 신세계 강남 직원이 필요 없는 제품까지 권유해서 부담스러웠음.
34,냉장고 정전 후 작동이 멈췄는데 어떻게 해야 하나요?
35,삼성스토어 스타필드 고양 배송 기사님이 친절하게 설치까지 도와주셔서 감사함.
36,모바일 요금제 안내가 가입할 때 들은 내용과 달라서 항의.
37,에어컨 필터 청소 후에도 냄새가 계속 납니다.
38,삼성스토어 현대 판교 세탁기 전시 제품 할인 여부를 문의함.
39,비스포크 식기세척기 소음이 생각보다 커서 실망했음.
40,삼성스토어 스타필드 수원에서 구매한 청소기 배터리가 금방 방전됨.
41,삼성스토어 용인구성 A/S 접수 후 일주일째 연락이 없어 답답함.
42,냉장고 내부 LED 조명이 깜빡거립니다.
43,삼성스토어 신세계 강남 프로모션 사은품을 받지 못했다는 문의.
44,TV 사운드바 연결이 안 되어 설정 도움을 요청함.
45,삼성스토어 스타필드 고양 직원이 설치 일정을 친절하게 조율해 줘서 만족.
46,세탁기 구매 시 안내받은 무료 설치가 유료로 청구되었음.
47,모바일 보상판매 진행 절차가 너무 복잡하다는 불만.
48,삼성스토어 현대 판교 에어컨 재고가 없어 한참 기다려야 한다고 안내받음.
49,비스포크 냉장고 정기 점검 서비스 신청 방법을 알고 싶음.
50,삼성스토어 스타필드 수원 직원의 제품 비교 설명이 매우 도움이 되었음.
